Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
"SE.PRM.CMPT.FE.ZS","Education: Outcomes","Primary completion rate, female (% of relevant age group)",,"Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","% of relevant age group","Annual",,,"Weighted average","The data do not account for students who drop out during the final year of primary education. Therefore, this rate serves as a proxy and should be considered an upper estimate of the actual primary completion rate.











 

















There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2026-03-19, date published: 2026-02","Methodology: Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): The indicator represents the influence of policies regarding entry and progress through the initial stages of primary or lower secondary education on the completion of the terminal grade at the respective level. The presumption is that students who enroll in the final grade for the first time will successfully finish that grade, thereby completing the designated level of education.","Primary education lays the groundwork for acquiring essential literacy and numeracy skills, setting the stage for a robust learning journey and fostering overall personal and social growth.  SDG target 4.1 aims to ensure that all children complete free, equitable, and quality primary education.  This indicator holds significant relevance for policy-makers dedicated to enhancing children's educational access and engagement. It gauges the capacity of the education system to support a group of students from their expected entry age to the completion of all grades of primary education.",,,,"CC BY-4.0"
"SE.PRM.CMPT.MA.ZS","Education: Outcomes","Primary completion rate, male (% of relevant age group)",,"Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","% of relevant age group","Annual",,,"Weighted average","The data do not account for students who drop out during the final year of primary education. Therefore, this rate serves as a proxy and should be considered an upper estimate of the actual primary completion rate.











 

















There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2026-03-19, date published: 2026-02","Methodology: Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): The indicator represents the influence of policies regarding entry and progress through the initial stages of primary or lower secondary education on the completion of the terminal grade at the respective level. The presumption is that students who enroll in the final grade for the first time will successfully finish that grade, thereby completing the designated level of education.","Primary education lays the groundwork for acquiring essential literacy and numeracy skills, setting the stage for a robust learning journey and fostering overall personal and social growth.  SDG target 4.1 aims to ensure that all children complete free, equitable, and quality primary education.  This indicator holds significant relevance for policy-makers dedicated to enhancing children's educational access and engagement. It gauges the capacity of the education system to support a group of students from their expected entry age to the completion of all grades of primary education.",,,,"CC BY-4.0"
"SE.PRM.CMPT.ZS","Education: Outcomes","Primary completion rate, total (% of relevant age group)",,"Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.","% of relevant age group","Annual",,,"Weighted average","The data do not account for students who drop out during the final year of primary education. Therefore, this rate serves as a proxy and should be considered an upper estimate of the actual primary completion rate.











 

















There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 























Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.























The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): The indicator represents the influence of policies regarding entry and progress through the initial stages of primary or lower secondary education on the completion of the terminal grade at the respective level. The presumption is that students who enroll in the final grade for the first time will successfully finish that grade, thereby completing the designated level of education.","Primary education lays the groundwork for acquiring essential literacy and numeracy skills, setting the stage for a robust learning journey and fostering overall personal and social growth.  SDG target 4.1 aims to ensure that all children complete free, equitable, and quality primary education.  This indicator holds significant relevance for policy-makers dedicated to enhancing children's educational access and engagement. It gauges the capacity of the education system to support a group of students from their expected entry age to the completion of all grades of primary education.",,,,"CC BY-4.0"
"SE.PRM.CUAT.FE.ZS","Education: Outcomes","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",,"The percentage of population ages 25 and over that attained or completed primary education.","% of female population ages 25+","Annual",,,,"Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and does not necessarily reveal the quality of the education (learning achievement and other impacts).",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 























Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.
Statistical concept(s): Educational attainment indicators by education level, serve as a measure of the accumulated stock of knowledge, skills, and competencies that are typically associated with the completion of each level. These indicators not only shed light on the disparities in educational achievement among various demographic groups, thereby offering insights into the present and past efficacy of the education system in ensuring equitable access to education, but they also mirror the structure and performance of the education system itself. Furthermore, such indicators are instrumental in guiding policy decisions aimed at expanding educational opportunities.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital?",,,,"CC BY-4.0"
"SE.PRM.CUAT.MA.ZS","Education: Outcomes","Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",,"The percentage of population ages 25 and over that attained or completed primary education.","% of male population ages 25+","Annual",,,,"Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and do not necessarily reveal the quality of the education (learning achievement and other impacts).",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 























Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.
Statistical concept(s): Educational attainment indicators by education level, serve as a measure of the accumulated stock of knowledge, skills, and competencies that are typically associated with the completion of each level. These indicators not only shed light on the disparities in educational achievement among various demographic groups, thereby offering insights into the present and past efficacy of the education system in ensuring equitable access to education, but they also mirror the structure and performance of the education system itself. Furthermore, such indicators are instrumental in guiding policy decisions aimed at expanding educational opportunities.","A relative high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.",,,,"CC BY-4.0"
"SE.PRM.CUAT.ZS","Education: Outcomes","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",,"The percentage of population ages 25 and over that attained or completed primary education.","% of total population ages 25+","Annual",,,,"Caution is required when using this indicator for cross-country comparison, since the countries do not always classify degrees and qualifications at the same International Standard Classification of Education (ISCED) levels, even if they are received at roughly the same age or after a similar number of years of schooling. Also, certain educational programmes and study courses cannot be easily classified according to ISCED. This indicator only measures educational attainment in terms of level of education attained, i.e. years of schooling, and does not necessarily reveal the quality of the education (learning achievement and other impacts).",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: It is calculated by dividing the number of population ages 25 and older who attained or completed primary education by the total population of the same age group and multiplying by 100. The number 0 means zero or small enough that the number would round to zero. 























Data are collected by the UNESCO Institute for Statistics mainly from national population census, household survey, and labour force survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011.
Statistical concept(s): Educational attainment indicators by education level, serve as a measure of the accumulated stock of knowledge, skills, and competencies that are typically associated with the completion of each level. These indicators not only shed light on the disparities in educational achievement among various demographic groups, thereby offering insights into the present and past efficacy of the education system in ensuring equitable access to education, but they also mirror the structure and performance of the education system itself. Furthermore, such indicators are instrumental in guiding policy decisions aimed at expanding educational opportunities.","A relatively high concentration of the adult population in a given level of education reflects the capacity of the educational system in the corresponding level of education. Educational attainment is closely related to the skills and competencies of a country's population, and could be seen as a proxy of both the quantitative and qualitative aspects of the stock of human capital.",,,,"CC BY-4.0"
"SE.PRM.DURS","Education: Outcomes","Primary education, duration (years)",,"Primary duration refers to the number of grades (years) in primary school.","Years","Annual",,,"Median","The presence of national legislation does not guarantee that countries will implement it effectively, nor does it ensure that parents will take advantage of the provisions available for their children.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), date accessed: 2026-03-19, date published: 2026-02","Methodology: Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Aggregate data are based on World Bank estimates.























The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): This indicator measures the number of years that a country's laws or regulations specify for primary education.  It aids in identifying the population of school-aged children at different educational levels. Additionally, this metric serves as crucial input data necessary for generating various indicators and evaluating a country's capacity to meet educational demand.","Primary education serves as the cornerstone for the development of fundamental literacy and numeracy skills, which are crucial for a solid foundation in the learning process. It also plays a significant role in promoting personal and social development. The importance of primary education is underscored by Sustainable Development Goal (SDG) target 4.1, which advocates completion of inclusive and equitable quality education at the primary level for all children.",,,,"CC BY-4.0"
"SE.PRM.ENRL","Education: Participation","Primary education, pupils",,"Primary education pupils is the total number of pupils enrolled at primary level in public and private schools.","Number","Annual",,,"Sum",,,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: Enrollment includes Individuals officially registered in a given educational programme, or stage or module thereof, regardless of age.





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): Educational programs at the International Standard Classification of Education (ISCED) level 1, commonly referred to as primary education, are fundamentally structured to equip students with essential literacy and numeracy skills. These programs aim to lay a robust groundwork for learning, fostering an understanding of key knowledge domains, and promoting personal and social growth, thereby readying students for the subsequent stage of lower secondary education.





















Entry into this level is predominantly based on age, with the typical or legally mandated age of enrollment ranging from 5 to 7 years old. The duration of primary education is generally six years, though it can vary from four to seven years, concluding when students are between 10 to 12 years old (refer to Paragraphs 132 to 134 for further details). Upon successful completion of primary education, students are eligible to progress to ISCED level 2, which corresponds to lower secondary education.","Primary education is a fundamental human right. It serves as the cornerstone for subsequent achievement and creates opportunities for further progress. Its extensive influence extends to individuals and the collective society, playing a critical role in the alleviation of extreme poverty, the promotion of health, and the advancement of gender equality. The SDG target 4.1 advocates for the completion of free, equitable, and high-quality primary and secondary education for all children, aiming to achieve meaningful and impactful learning outcomes by the year 2030.",,,,"CC BY-4.0"
"SE.PRM.ENRL.FE.ZS","Education: Participation","Primary education, pupils (% female)",,"Female pupils as a percentage of total pupils at primary level include enrollments in public and private schools.",,"Annual",,,"Weighted average","The percentage of female enrollment is limited in assessing gender parity, because it's affected by the gender composition of population. Ratio of female to male in enrollment rate provides a population adjusted measure of gender parity.",,,"Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://uis.unesco.org/bdds, publisher: UNESCO Institute for Statistics (UIS)","Methodology: Percentage of female enrollment is calculated by dividing the total number of female students at a given level of education by the total enrollment at the same level, and multiplying by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","The share of girls allows an assessment on gender composition in school enrollment. A value greater than 50% indicates participation of more girls at a specific level or programme of education.",,,,"CC BY-4.0"
"SE.PRM.ENRL.TC.ZS","Education: Inputs","Pupil-teacher ratio, primary",,"Primary school pupil-teacher ratio is the average number of pupils per teacher in primary school.",,"Annual",,,"Weighted average","The comparability of pupil-teacher ratios across countries is affected by the definition of teachers and by differences in class size by grade and in the number of hours taught, as well as the different practices countries employ such as part-time teachers, school shifts, and multi-grade classes. Moreover, the underlying enrollment levels are subject to a variety of reporting errors.",,,"Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://uis.unesco.org/bdds, publisher: UNESCO Institute for Statistics (UIS)","Methodology: Pupil-teacher ratio is calculated by dividing the number of students at the specified level of education by the number of teachers at the same level of education. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s):","The pupil-teacher ratio is often used to compare the quality of schooling across countries, but it is often weakly related to student learning and quality of education.",,,,"CC BY-4.0"
"SE.PRM.ENRR","Education: Participation","School enrollment, primary (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","% of population in the 5-year age group immediately following preprimary education","Annual",,,"Weighted average","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: Gross enrollment ratio for primary school is calculated by dividing the number of students enrolled in primary education regardless of age by the population of the age group which officially corresponds to primary education, and multiplying by 100. 





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system.","Primary education is fundamental to future educational success and opens pathways for continued advancement. This indicator measures the overall rate of participation in primary education, signifying the education system's ability to enroll students within a specific age cohort.",,,,"CC BY-4.0"
"SE.PRM.ENRR.FE","Education: Participation","School enrollment, primary, female (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","% of female population in the 5-year age group immediately following preprimary education","Annual",,,"Weighted average","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: Gross enrollment ratio for primary school is calculated by dividing the number of students enrolled in primary education regardless of age by the population of the age group which officially corresponds to primary education, and multiplying by 100.





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system.","Primary education is fundamental to future educational success and opens pathways for continued advancement. This indicator measures the overall rate of participation in primary education, signifying the education system's ability to enroll students within a specific age cohort.",,,,"CC BY-4.0"
"SE.PRM.ENRR.MA","Education: Participation","School enrollment, primary, male (% gross)",,"Gross enrollment ratio is the ratio of total enrollment, regardless of age, to the population of the age group that officially corresponds to the level of education shown. Primary education provides children with basic reading, writing, and mathematics skills along with an elementary understanding of such subjects as history, geography, natural science, social science, art, and music.","% of male population in the 5-year age group immediately following preprimary education","Annual",,,"Weighted average","Enrollment indicators are based on annual school surveys, but do not necessarily reflect actual attendance or dropout rates during the year. Also, the length of education differs across countries and can influence enrollment rates, although the International Standard Classification of Education (ISCED) tries to minimize the difference. For example, a shorter duration for primary education tends to increase the rate; a longer one to decrease it (in part because older children are more at risk of dropping out). Moreover, age at enrollment may be inaccurately estimated or misstated, especially in communities where registration of births is not strictly enforced.",,,"Data API, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://databrowser.uis.unesco.org/resources, note: The data are obtained through the UIS API.  Detailed documentation is available at: https://api.uis.unesco.org/api/public/documentation/, publisher: UNESCO Institute for Statistics (UIS), type: Bulk file (csv), date accessed: 2026-03-19, date published: 2026-02","Methodology: Gross enrollment ratio for primary school is calculated by dividing the number of students enrolled in primary education regardless of age by the population of the age group which officially corresponds to primary education, and multiplying by 100. 





















Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.





















The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s): Gross enrollment ratios indicate the capacity of each level of the education system, but a high ratio may reflect a substantial number of overage children enrolled in each grade because of repetition or late entry rather than a successful education system.","Primary education is fundamental to future educational success and opens pathways for continued advancement. This indicator measures the overall rate of participation in primary education, signifying the education system's ability to enroll students within a specific age cohort.",,,,"CC BY-4.0"
"SE.PRM.GINT.FE.ZS","Education: Efficiency","Gross intake ratio in first grade of primary education, female (% of relevant age group)",,"Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age, expressed as a percentage of the population of the official primary entrance age.",,"Annual",,,"Weighted average","The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.",,,"Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://uis.unesco.org/bdds, publisher: UNESCO Institute for Statistics (UIS)","Methodology: Gross intake ratio in the first grade of primary education is calculated by dividing the number of new entrants (enrollments minus repeaters) in the first grade of primary education, regardless of age, by the population of the official primary entrance age and multiplying the result by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s):","The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large.",,,,"CC BY-4.0"
"SE.PRM.GINT.MA.ZS","Education: Efficiency","Gross intake ratio in first grade of primary education, male (% of relevant age group)",,"Gross intake ratio in first grade of primary education is the number of new entrants in the first grade of primary education regardless of age, expressed as a percentage of the population of the official primary entrance age.",,"Annual",,,"Weighted average","The quality of data is affected when new entrants and repeaters are not correctly distinguished in the first grade of primary education. Caution is also needed for countries with a total population under 100,000 since the United Nations Population Division neither publish nor endorse single-age data for those countries. The data are highly subject to fluctuations in migration and other factors.",,,"Stat Bulk Data Download Service, UN Educational, Scientific and Cultural Organization (UNESCO), uri: https://uis.unesco.org/bdds, publisher: UNESCO Institute for Statistics (UIS)","Methodology: Gross intake ratio in the first grade of primary education is calculated by dividing the number of new entrants (enrollments minus repeaters) in the first grade of primary education, regardless of age, by the population of the official primary entrance age and multiplying the result by 100.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).
Statistical concept(s):","The gross intake ratio in the first grade of primary education indicates the level of access to primary education and the education system's capacity to provide access to primary education. A low gross intake ratio in the first grade of primary education reflects the fact that many children do not enter primary education even though school attendance, at least through the primary level, is mandatory in most countries. Because the gross intake ratio includes all new entrants regardless of age, it can exceed 100 percent in some situations, such as immediately after fees have been abolished or when the number of reenrolled children is large.",,,,"CC BY-4.0"
